Week,Day,Date,Category,Task,Status,Priority,Details
Week 1 (Done),Monday,31-Mar-2026,Backend,Multi-Team & Multi-Lead System,Done,Critical,"Added user_team_memberships & user_managers junction tables. Employee can report to multiple leads and work in multiple teams."
Week 1 (Done),Monday,31-Mar-2026,Backend,Team Change Request Workflow,Done,Critical,"Leads request team/manager changes → Admin approves/rejects. New team_change_requests table."
Week 1 (Done),Monday,31-Mar-2026,Backend,Reportee-Based Filtering,Done,Critical,"All services (attendance, GTL, leaves, WFH) now filter by managerId for leads. Leads see ONLY their reportees."
Week 1 (Done),Monday,31-Mar-2026,Frontend,Employee Management Redesign,Done,Critical,"Shows multi-team + multi-manager. Leads see reportees only. Request flow for team/manager changes."
Week 1 (Done),Monday,31-Mar-2026,Frontend,Sidebar Role Separation,Done,Critical,"Leads see MY TEAM MANAGEMENT section. Admins see full ADMINISTRATION. No data leaks."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Lead Insights → My Team Dashboard,Done,High,"Auto-loads for leads. Shows today's attendance (who checked in/out/absent). Attendance summary table. Issue detection cards."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Time Sheet Approval Redesign,Done,High,"Shows team roster with live attendance. Highlights members with pending entries. Click to expand."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,WFH & Weekend Assignments Fix,Done,High,"Leads see only reportees in assign modals. No more all-company dropdowns."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Attendance Requests Fix,Done,High,"Leads see only reportees' requests. No 'New Request' button on admin view."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Leave Approvals for Leads,Done,High,"Moved to lead section. Backend scoped to reportees via managerId."
Week 1 (Done),Tuesday,01-Apr-2026,Backend,Team Hierarchy (Sub-Teams),Done,High,"Added parentId to teams table. Software → AI/ML, Backend, ODOO etc. Visual hierarchy on Teams page."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Users Page — Super Admin Edit,Done,High,"Click edit → change roles, teams, managers, reportees. Lead config section appears when Team Lead role selected."
Week 1 (Done),Tuesday,01-Apr-2026,Backend,Full Change History Tracking,Done,High,"Every change logged: team_added, team_removed, manager_added, manager_removed, roles, status, designation. Shows who changed what and when."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Data Entry Page Redesign,Done,High,"Card-based layout. Date+Attendance+Hours card at top. Hours strictly from attendance (read-only). Better weekend/absent/missed-checkout messages."
Week 1 (Done),Tuesday,01-Apr-2026,Backend,Hours Validation,Done,Critical,"Backend rejects time entries where hours > actual attendance. Blocks missed checkout entries. Anti-gaming enforced."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Company Theme System,Done,Medium,"CSS variables per company. Sidebar background matches brand. AngularSpring=burgundy, PowerSoft19=orange, Venturetronics=red, Raythorne=navy."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Lazy Loading,Done,Medium,"~30 pages converted to React.lazy(). Initial bundle reduced 230KB. Faster first load."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Blood Groups → Admin Only,Done,Low,"Removed from employee sidebar. Moved under admin People section."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Directory Upgrade,Done,Medium,"Sub-team filter, list/card view toggle, RFID column for admins."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Teams Page — Expandable,Done,Medium,"Click any team to see its members. Works for parent teams and sub-teams."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Apply Leave Redesign,Done,Medium,"Shows leave balance card (allowed/used/remaining). Days counter. Themed form."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,Org Chart (NEW),Done,Medium,"3 views: Tree hierarchy, List view, Department view. Search + filter by manager. Color-coded levels."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,CV Generator (NEW),Done,Medium,"Select employee → formatted CV with personal info, education, experience, languages. Print/Save as PDF."
Week 1 (Done),Tuesday,01-Apr-2026,Backend,ZKTeco Device Creation,Done,Medium,"Add Device button + modal. Name, IP, description. Previously could only edit existing devices."
Week 1 (Done),Tuesday,01-Apr-2026,Frontend,User Guide Page,Done,Low,"Role-specific FAQ. Employee/Lead/Admin guides. Feature comparison table."
Week 1 (Done),Wednesday,02-Apr-2026,Backend,Swagger API Documentation,Done,High,"Full Swagger UI at /api/docs. Password protected (admin/gtl@2026). 103 endpoints documented with examples."
Week 1 (Done),Wednesday,02-Apr-2026,Backend,Backend Security Lockdown,Done,Critical,"Port 4000 bound to 127.0.0.1 only. All traffic through frontend proxy on 3002. Swagger password protected."
Week 1 (Done),Wednesday,02-Apr-2026,Frontend,Users Page — Sorting & Privacy,Done,Medium,"Sortable columns (name, ID, team, designation). Phone/RFID/Edit hidden for non-super-admins."
Week 1 (Done),Wednesday,02-Apr-2026,Frontend,Merged Users & Profiles Pages,Done,Medium,"Single Users page with Phone + RFID columns. Profiles page removed from sidebar."
Week 1 (Done),Wednesday,02-Apr-2026,Frontend,Designation = Job Title Sync,Done,Low,"Profile jobTitle auto-syncs when designation changes. One field, not two."
Week 1 (Done),Wednesday,02-Apr-2026,Docs,ERD + Architecture Diagrams,Done,Low,"erd.png (34 tables), frontend-structure.png, backend-structure.png generated as PNG."
Week 2,Monday,07-Apr-2026,Frontend,Dashboard Redesign,Pending,High,"Company-branded dashboard with attendance chart, GTL summary donut, team stats. Different views for employee vs lead vs admin."
Week 2,Monday,07-Apr-2026,Frontend,Charts & Visualizations,Pending,High,"Add Chart.js/Recharts: attendance trends (line), hours per project (pie), team performance (bar), monthly comparison."
Week 2,Tuesday,08-Apr-2026,Backend,Fix queryRawUnsafe SQL Injection,Pending,Critical,"Replace all 10 $queryRawUnsafe calls with parameterized queries. Security audit."
Week 2,Tuesday,08-Apr-2026,Backend,Email Notifications,Pending,Medium,"Send email on: leave approved/rejected, attendance request approved, WFH assigned. Nodemailer + SMTP."
Week 2,Wednesday,09-Apr-2026,Frontend,Profile Photo Upload,Pending,Medium,"Camera capture or file upload for profile pictures. Show in directory, org chart, CV."
Week 2,Wednesday,09-Apr-2026,Frontend,Bulk Import (Excel),Pending,Medium,"Super admin can upload Excel file to bulk-update employee profiles (CNIC, phone, blood group, education)."
Week 2,Thursday,10-Apr-2026,Backend,Cron Jobs for Auto-Sync,Pending,Medium,"Auto-sync ZKTeco devices every 5 minutes. Auto-close missed checkouts at midnight. Scheduled reports."
Week 2,Thursday,10-Apr-2026,Frontend,Mobile Responsive Polish,Pending,Medium,"Test and fix all pages on mobile/tablet. Sidebar collapses properly. Forms stack vertically."
Week 2,Friday,11-Apr-2026,DevOps,Production Deployment Plan,Pending,High,"Nginx config, SSL certificate, PM2 process manager, PostgreSQL backup cron, environment variables."
Week 2,Friday,11-Apr-2026,Testing,End-to-End Testing,Pending,High,"Test all flows: employee login → data entry → timesheet. Lead login → approvals → insights. Admin login → user management."
